Likes,Feature,Value
139441,val1,2752
139441,val2,5091
139441,val3,178
139441,val4,109
139441,val5,159
139441,val6,3078
139441,val7,1640
139441,val8,119
139441,val1,10460
139441,val2,19057
139441,val3,1457
139441,val4,1361
139441,val5,1674
139441,val6,11710
139441,val7,6112
139441,val8,1108
139441,val1,2413
139441,val2,4373
139441,val3,177
139441,val4,113
139441,val5,154
139441,val6,2812
139441,val7,1503
139441,val8,132
139441,val1,50128
139441,val2,87991
139441,val3,2211
139441,val4,790
139441,val5,1119
139441,val6,61027
139441,val7,32048
139441,val8,1386
139441,val1,7244
139441,val2,13594
139441,val3,671
139441,val4,410
139441,val5,580
139441,val6,6228
139441,val7,3200
139441,val8,396
139441,val1,10472
139441,val2,20849
139441,val3,1191
139441,val4,1073
139441,val5,1389
139441,val6,16034
139441,val7,7852
139441,val8,1016
139441,val1,11692
139441,val2,19479
139441,val3,481
139441,val4,265
139441,val5,364
139441,val6,15432
139441,val7,9328
139441,val8,379
139441,val1,13720
139441,val2,24137
139441,val3,537
139441,val4,232
139441,val5,305
139441,val6,19728
139441,val7,11056
139441,val8,422
139441,val1,11844
139441,val2,22538
139441,val3,1530
139441,val4,1407
139441,val5,1692
139441,val6,15220
139441,val7,7912
139441,val8,1250
139441,val1,4694
139441,val2,8668
139441,val3,280
139441,val4,183
139441,val5,250
139441,val6,4309
139441,val7,2324
139441,val8,199
139441,val1,21744
139441,val2,42334
139441,val3,4258
139441,val4,4100
139441,val5,4540
139441,val6,37849
139441,val7,18952
139441,val8,3798
139441,val1,3112
139441,val2,5590
139441,val3,208
139441,val4,127
139441,val5,145
139441,val6,3887
139441,val7,2174
139441,val8,165
139441,val1,2847
139441,val2,5133
139441,val3,193
139441,val4,115
139441,val5,133
139441,val6,3779
139441,val7,2072
139441,val8,152
139441,val1,2549
139441,val2,4896
139441,val3,249
139441,val4,134
139441,val5,168
139441,val6,3631
139441,val7,1917
139441,val8,183
138414,val1,22784
138414,val2,39941
138414,val3,887
138414,val4,337
138414,val5,417
138414,val6,34415
138414,val7,19312
138414,val8,684
138414,val1,10060
138414,val2,19680
138414,val3,1264
138414,val4,1209
138414,val5,1425
138414,val6,17272
138414,val7,8548
138414,val8,1162
138414,val1,1722
138414,val2,2981
138414,val3,163
138414,val4,123
138414,val5,148
138414,val6,1868
138414,val7,1050
138414,val8,123
138414,val1,53264
138414,val2,111785
138414,val3,1706
138414,val4,1103
138414,val5,1655
138414,val6,92512
138414,val7,39776
138414,val8,1307
138414,val1,3930
138414,val2,7509
138414,val3,130
138414,val4,86
138414,val5,112
138414,val6,5009
138414,val7,2410
138414,val8,101
138414,val1,1591
138414,val2,2825
138414,val3,121
138414,val4,88
138414,val5,111
138414,val6,2116
138414,val7,1161
138414,val8,100
138414,val1,2848
138414,val2,5066
138414,val3,200
138414,val4,142
138414,val5,184
138414,val6,3561
138414,val7,1963
138414,val8,157
138414,val1,1384
138414,val2,2467
138414,val3,15
138414,val4,15
138414,val5,20
138414,val6,2196
138414,val7,1172
138414,val8,15
138414,val1,3454
138414,val2,6853
138414,val3,118
138414,val4,104
138414,val5,130
138414,val6,6282
138414,val7,3100
138414,val8,106
138414,val1,2723
138414,val2,4888
138414,val3,176
138414,val4,118
138414,val5,143
138414,val6,2964
138414,val7,1621
138414,val8,143
138414,val1,8488
138414,val2,15294
138414,val3,1341
138414,val4,1270
138414,val5,1489
138414,val6,9684
138414,val7,5244
138414,val8,995
138458,val1,8284
138458,val2,15104
138458,val3,1521
138458,val4,1462
138458,val5,1711
138458,val6,10266
138458,val7,5372
138458,val8,1200
138458,val1,19552
138458,val2,34143
